license_type,business_name,street_address,status,city,state,zip_code,phone_no,year,licence_number,full_address,active,lat,lon
Lawn Parking License,525 PEASHWAY ST.,525 PEASHWAY ST.,INACTIVE,SOUTH BEND,IN,46617,NA,2021,LWN2021-013,"525 PEASHWAY ST., SOUTH BEND, IN, 46617",FALSE,41.6922742,-86.2430586
Restaurant (A-M) License,THE LANDING CATERING,2801 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,574-299-9126,2021,RST2021-185,"2801 S MICHIGAN ST, SOUTH BEND, IN, 46614",FALSE,41.6451354,-86.2500104
Arborist License,CUT RITE SERVICES,2604 SR 331,RENEWED,BREMEN,IN,46506,574-784-8889,2021,ARB2021-021,"2604 SR 331, BREMEN, IN, 46506",FALSE,41.4465634,-86.1366326
Automotive Repair License,JIFFY LUBE,4425 S MICHIGAN ST,RENEWED,South Bend,IN,46614,574-299-0439,2021,AUT2021-055,"4425 S MICHIGAN ST, South Bend, IN, 46614",FALSE,41.6296199,-86.2510869
Lawn Parking License,1203 WHITE OAK DR.,1203 WHITE OAK DR.,RENEWED,SOUTH BEND,IN,46617,NA,2021,LWN2021-047,"1203 WHITE OAK DR., SOUTH BEND, IN, 46617",FALSE,41.6910555,-86.2244278
Restaurant (A-M) License,McKinley Pub & Catering Inc.,"2930 MCKINLEY AVE A, SOUTH BEND, IN, 46615",RENEWED,South Bend,IN,46615,574-855-1417,2021,RST2021-099,"2930 MCKINLEY AVE A, SOUTH BEND, IN, 46615, South Bend, IN, 46615",FALSE,NA,NA
Restaurant (N-Z) License,SAINT MARGARET'S HOUSE,117 N  LAFAYETTE BLVD,RENEWED,SOUTH BEND,IN,46601,574-234-7795,2021,RST2021-189,"117 N  LAFAYETTE BLVD, SOUTH BEND, IN, 46601",FALSE,41.6769451,-86.2539663
Restaurant (A-M) License,GOSPEL CENTER MISSIONARY CHURCH,930 S 30TH ST,RENEWED,SOUTH BEND,IN,46615,574-288-4477,2020,1291RESTAM2020,"930 S 30TH ST, SOUTH BEND, IN, 46615",FALSE,41.6647389,-86.2052527
Alarm Agent License,IRON CLAD SECURITY,12748 Sandy Dr,RENEWED,GRANGER,IN,46530,574-272-5337,2021,ALR2021-005,"12748 Sandy Dr, GRANGER, IN, 46530",FALSE,41.7597193,-86.1158049
Massage Establishment License,SUMMER SPA MASSAGE,3601 E JEFFERSON BLVD,ACTIVE,SOUTH BEND,IN,46615,574-383-5035,2023,MSE2023-005,"3601 E JEFFERSON BLVD, SOUTH BEND, IN, 46615",FALSE,41.673017,-86.197692
Automotive Repair License,GURLEY-LEEP,320 E  IRELAND RD,RENEWED,MISHAWAKA,IN,46545,574-291-6910,2020,1636AUTO2020,"320 E  IRELAND RD, MISHAWAKA, IN, 46545",FALSE,41.6295967,-86.1739247
Restaurant (A-M) License,Raja Always Open,"1401 N BENDIX DR, SOUTH BEND, IN, 46628",RENEWED,South Bend,IN,46628,574-233-6429,2021,RST2021-407,"1401 N BENDIX DR, SOUTH BEND, IN, 46628, South Bend, IN, 46628",FALSE,NA,NA
Automotive Repair License,L & L AUTO REPAIR,1956 E EWING AVE,CLOSED,SOUTH BEND,IN,46613,574-367-9577,2021,AUT2021-067,"1956 E EWING AVE, SOUTH BEND, IN, 46613",FALSE,41.6511471,-86.2168654
Precious Metal Dealer License,J.R.Fox Jewelers,"1105 E IRELAND RD, SOUTH BEND, IN, 46614",READY2ISSU,South Bend,IN,46614,574-291-5700,2023,PMD2023-007,"1105 E IRELAND RD, SOUTH BEND, IN, 46614, South Bend, IN, 46614",FALSE,NA,NA
Automotive Repair License,SOUTH BEND AUTO SERVICE,3609 W  WESTERN AVE,CLOSED,SOUTH BEND,IN,46628,574-855-1446,2020,AUT2020-005,"3609 W  WESTERN AVE, SOUTH BEND, IN, 46628",FALSE,41.6722481,-86.2992335
Arborist License,UNDERLY TREE SERVICE,50960 REDWOOD RD,ACTIVE,SOUTH BEND,IN,46628,574-272-8232,2023,ARB2023-016,"50960 REDWOOD RD, SOUTH BEND, IN, 46628",FALSE,NA,NA
Restaurant (N-Z) License,VEGETABLE BUDDIES INC.,129 N MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-232-0954,2021,RST2021-179,"129 N MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.6768149,-86.2504826
Restaurant (A-M) License,IMMANUEL UNITED METHODIST CHURCH,1211 W EWING AVE,EXPIRED,SOUTH BEND,IN,46613,574-289-5662,2022,RST2022-211,"1211 W EWING AVE, SOUTH BEND, IN, 46613",FALSE,41.6507598,-86.2676533
Automotive Repair License,ART & JERRY'S AUTO SERVICE,1402 PRAIRIE AVE,ACTIVE,SOUTH BEND,IN,46613,574-289-2828,2023,AUT2023-052,"1402 PRAIRIE AVE, SOUTH BEND, IN, 46613",FALSE,41.6599324,-86.2636894
Restaurant (A-M) License,KING GYROS OF LINCOLNWAY WEST,3417 LINCOLN WAY W,RENEWED,SOUTH BEND,IN,46628,574-232-8901,2020,726RESTAM2020,"3417 LINCOLN WAY W, SOUTH BEND, IN, 46628",FALSE,41.666636,-86.2385554
Restaurant (N-Z) License,NEVERIA LOS TRES MANGOS DE MICHOACAN,2518 W WESTERN AVE,ACTIVE,SOUTH BEND,IN,46619,574-217-8967,2023,RST2023-027,"2518 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6718535,-86.2853185
Public Parking Facility License,"MARY COYNE INVESTMENTS, LLC",123 N MAIN ST,ACTIVE,SOUTH BEND,IN,46601,216-269-0849,2023,PBP2023-006,"123 N MAIN ST, SOUTH BEND, IN, 46601",FALSE,41.677169,-86.252108
Restaurant (A-M) License,GOOD SHEPHERD LUTHERAN CHURCH,1021 MANCHESTER DR,RENEWED,SOUTH BEND,IN,46615,574-232-9418,2021,RST2021-087,"1021 MANCHESTER DR, SOUTH BEND, IN, 46615",FALSE,41.689205,-86.201695
Arborist License,CUSTOM & MOORE TREE EXPERTS INC,12945 SR 23 HWY,RENEWED,GRANGER,IN,46530,574-272-1900,2021,ARB2021-033,"12945 SR 23 HWY, GRANGER, IN, 46530",FALSE,NA,NA
Taxi Vehicle License,EAGLE CAB LLC,1657 COMMERCE DR.,ACTIVE,SOUTH BEND,IN,46628,574-287-6666,2022,TXV2022-001,"1657 COMMERCE DR., SOUTH BEND, IN, 46628",FALSE,41.6986746,-86.307587
Alarm Agent License,"RAPID RESPONSE MONITORING SERVICES, INC.",400 W Division St,RENEWED,SYRACUSE,NY,13204,800-932-3822,2020,1657ALARM2020,"400 W Division St, SYRACUSE, NY, 13204",FALSE,43.0575355,-76.1609025
Alarm Agent License,BONTRAGER SECURITY SOLUTIONS L,"69295 County Road 23, New Paris, Indiana, 46553",RENEWED,New Paris,IN,46553,574-971-1821,2022,ALR2022-006,"69295 County Road 23, New Paris, Indiana, 46553, New Paris, IN, 46553",FALSE,NA,NA
Mobile Food Vendor (A-M) 1 Year License,COOL RUNNINGS JAMAICAN RESTAURANT,501 Center St,EXPIRED,MICHIGAN CITY,IN,46360,219-210-3885,2022,MFV2022-008,"501 Center St, MICHIGAN CITY, IN, 46360",FALSE,41.7232261,-86.8947182
Lawn Parking License,1311 WHITE OAK DR.,1311 WHITE OAK DR.,RENEWED,SOUTH BEND,IN,46617,NA,2021,LWN2021-062,"1311 WHITE OAK DR., SOUTH BEND, IN, 46617",FALSE,41.6926804,-86.2246801
Tattoo/Body Piercing Artist License,MICHAEL WHITE,"2106 COACHMANS TRL,  SOUTH BEND,  46637",EXPIRED,SOUTH BEND,IN,46637,574-229-4919,2020,8264TA2020,"2106 COACHMANS TRL,  SOUTH BEND,  46637, SOUTH BEND, IN, 46637",FALSE,NA,NA
Self Service Laundry/Dry Cleaner License,SAMPLE STREET SPIN CLOTHING CARE CENTER,5215 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-289-2008,2022,LND22-00023,"5215 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6646288,-86.3200541
Alarm Agent License,"CHSS, LLC DBA SONITROL OF SOUT",513 E McKinley Ave,ACTIVE,Mishawaka,IN,46545,574-334-7478,2023,ALR2023-009,"513 E McKinley Ave, Mishawaka, IN, 46545",FALSE,41.6803627,-86.1761146
Lawn Parking License,1209 E. CORBY,1209 E. CORBY,EXPIRED,SOUTH BEND,IN,46617,NA,2022,LWN2022-005,"1209 E. CORBY, SOUTH BEND, IN, 46617",FALSE,41.6871386,-86.2370227
Alarm Agent License,SPEEDWAY LLC,500 Speedway Dr,RENEWED,Enon,OH,45323,937-863-6473,2021,ALR2021-032,"500 Speedway Dr, Enon, OH, 45323",FALSE,39.8883968,-83.9285492
Automotive Repair License,BRETT GORDON'S TOWING AND REPA,2018   FRANKLIN ST,RENEWED,SOUTH BEND,IN,46613,574-274-2152,2020,8513AUTO2020,"2018   FRANKLIN ST, SOUTH BEND, IN, 46613",FALSE,41.6528182,-86.2543277
Restaurant (A-M) License,"LUIGI'S PIZZA, INC",3620 MISHAWAKA AVE,ACTIVE,SOUTH BEND,IN,46615,574-282-1215,2023,RST2023-054,"3620 MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6656487,-86.196912
Automotive Repair License,SPEEDY'S AUTO  LLC,4001 W SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-234-1809,2021,AUT2021-049,"4001 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.664722,-86.303362
Alarm Agent License,"JP MORGAN CHASE, CORPORATE SEC",1820 E Sky Harbor Cir S,RENEWED,CHICAGO,IL,60606,312-954-2813,2020,5193ALARM2020,"1820 E Sky Harbor Cir S, CHICAGO, IL, 60606",FALSE,NA,NA
Alarm Agent License,"Guardian Protection Services, Inc.",174 Thorn Hill Rd,ACTIVE,Warrendale,PA,15086,724-741-3500,2023,ALR2023-032,"174 Thorn Hill Rd, Warrendale, PA, 15086",FALSE,40.6706624,-80.1108067
Restaurant (A-M) License,Huichi Restaurant LLC,2208 W WESTERN AVE,READY2ISSU,South Bend,IN,46619,574-855-1903,2023,RST2023-383,"2208 W WESTERN AVE, South Bend, IN, 46619",FALSE,41.6718006,-86.2814865
Arborist License,HOMER TREE SERVICE INC,16464 W 143rd St,RENEWED,LOCKPORT,IL,60441,815-512-7018,2022,ARB2022-013,"16464 W 143rd St, LOCKPORT, IL, 60441",FALSE,41.6271554,-88.0161463
Restaurant (A-M) License,MITCH'S SECOND BASE SPORTS BAR,4407 S  IRONWOOD DR,RENEWED,SOUTH BEND,IN,46614,574-855-1383,2020,6962RESTAM2020,"4407 S  IRONWOOD DR, SOUTH BEND, IN, 46614",FALSE,41.6317979,-86.2156769
Restaurant (N-Z) License,Pedro's Family Restaurant,3314 PORTAGE AVE,ACTIVE,SOUTH BEND,IN,46628,574-273-3124,2023,RST2023-055,"3314 PORTAGE AVE, SOUTH BEND, IN, 46628",FALSE,41.7186134,-86.2836114
Restaurant (N-Z) License,T. ALLEN'S KING GYROS OF SOUTH BEND INC.,5105 W WESTERN AVE,ACTIVE,SOUTH BEND,IN,46628,574-288-7010,2023,RST2023-227,"5105 W WESTERN AVE, SOUTH BEND, IN, 46628",FALSE,41.672047,-86.3188416
Restaurant (N-Z) License,South bend city market,"1836 Miami St, South Bend, Indiana, 46613",READY2ISSU,SOUTH BEND,IN,46613,NA,2023,RST2023-198,"1836 Miami St, South Bend, Indiana, 46613, SOUTH BEND, IN, 46613",FALSE,NA,NA
Self Service Laundry/Dry Cleaner License,Valet Laundry LLC,234 S Chapin St,ACTIVE,SOUTH BEND,IN,46601,574-514-7976,2023,LND23-00036,"234 S Chapin St, SOUTH BEND, IN, 46601",FALSE,41.6664675,-86.261313
Restaurant (N-Z) License,NAVARRE CATERING - DBA PALAIS,105 W COLFAX AVE,RENEWED,SOUTH BEND,IN,46601,574-235-5612,2021,RST2021-231,"105 W COLFAX AVE, SOUTH BEND, IN, 46601",FALSE,41.6776516,-86.2505874
Alarm Agent License,ALARM GRID INC,"5360 N FEDERAL HWY LIGHTHOUSE POINT, FL  33064",RENEWED,LIGHTHOUSE POINT,FL,33064,888-818-7728,2021,ALR2021-020,"5360 N FEDERAL HWY LIGHTHOUSE POINT, FL  33064, LIGHTHOUSE POINT, FL, 33064",FALSE,NA,NA
Secondhand Store License,WORLDWIDE JEWELRY & PAWN,1072 LINCOLN WAY,RENEWED,South Bend,IN,46601,574-232-9909,2022,SHN2022-004,"1072 LINCOLN WAY, South Bend, IN, 46601",FALSE,41.666636,-86.2385554
Restaurant (A-M) License,AMERICAN LEGION PULASKI POST 357,5414 W SAMPLE ST,ACTIVE,SOUTH BEND,IN,46619,574-234-5073,2023,RST2023-232,"5414 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6644606,-86.3223709
Lawn Parking License,1104 N. NOTRE DAME AVE.,1104 N. NOTRE DAME AVE.,INACTIVE,SOUTH BEND,IN,46617,574-855-0123,2021,LWN2021-024,"1104 N. NOTRE DAME AVE., SOUTH BEND, IN, 46617",FALSE,41.6900406,-86.2381078
Massage Therapist License,SARA ROS FRAZIER,21177 Harlan Rd,RENEWED,LAKEVILLE,IN,46536,574-383-0669,2022,MST2022-005,"21177 Harlan Rd, LAKEVILLE, IN, 46536",FALSE,NA,NA
Automotive Repair License,FROGGY'S AUTOMOTIVE,1510 E  CALVERT ST,RENEWED,SOUTH BEND,IN,46613,574-703-3816,2020,7251AUTO2020,"1510 E  CALVERT ST, SOUTH BEND, IN, 46613",FALSE,41.654746,-86.225022
Restaurant (N-Z) License,7-ELEVEN,501 E LASALLE AVE,EXPIRED,SOUTH BEND,IN,46617,574-834-5221,2022,RST2022-496,"501 E LASALLE AVE, SOUTH BEND, IN, 46617",FALSE,41.679249,-86.244206
Restaurant (N-Z) License,T. ALLEN'S KING GYROS OF SOUTH BEND INC.,5105 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46628,574-288-7010,2021,RST2021-123,"5105 W WESTERN AVE, SOUTH BEND, IN, 46628",FALSE,41.672047,-86.3188416
Restaurant (A-M) License,JIMMY JOHN'S,"3600 N PORTAGE RD, SOUTH BEND, 46628",RENEWED,SOUTH BEND,IN,46628,630-303-0461,2021,RST2021-161,"3600 N PORTAGE RD, SOUTH BEND, 46628, SOUTH BEND, IN, 46628",FALSE,NA,NA
Automotive Repair License,FE MOTORS INC,3417 W SAMPLE ST,EXPIRED,SOUTH BEND,IN,46619,574-904-4943,2022,AUT2022-063,"3417 W SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6647827,-86.2962
Massage Establishment License,NEW YOU OASIS LLC,"910 E IRELAND RD, SOUTH BEND, 46614",RENEWED,SOUTH BEND,IN,46614,574-222-2244,2021,MSE2021-004,"910 E IRELAND RD, SOUTH BEND, 46614, SOUTH BEND, IN, 46614",FALSE,NA,NA
Restaurant (A-M) License,CJ'S PUB INC.,236 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-233-5981,2022,RST2022-024,"236 S MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.6747531,-86.2502154
Restaurant (N-Z) License,RJ FOOD & GAS INC,3417 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-855-1429,2021,RST2021-411,"3417 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6720325,-86.296339
Automotive Repair License,POMP'S TIRE SERVICE,4207 N MAYFLOWER RD,RENEWED,South Bend,IN,46628,574-271-3850,2022,AUT2022-023,"4207 N MAYFLOWER RD, South Bend, IN, 46628",FALSE,41.6818685,-86.3222489
Automotive Repair License,M & K TRUCK CENTER OF SOUTH BE,3152 MARY CT,RENEWED,SOUTH BEND,IN,46614,574-282-1230,2021,AUT2021-068,"3152 MARY CT, SOUTH BEND, IN, 46614",FALSE,NA,NA
Restaurant (A-M) License,MC DONALD'S IRONWOOD,1519 N IRONWOOD DR,ACTIVE,SOUTH BEND,IN,46635,574-277-0193,2023,RST2023-112,"1519 N IRONWOOD DR, SOUTH BEND, IN, 46635",FALSE,41.6960611,-86.2170217
Restaurant (A-M) License,KING GYROS OR1 LLC,2717 S  MICHIGAN ST,RENEWED,SOUTH BEND,IN,46614,574-217-8595,2020,RST2020-014,"2717 S  MICHIGAN ST, SOUTH BEND, IN, 46614",FALSE,41.6459227,-86.2501047
Restaurant (A-M) License,MEIJER GAS STATION #120,"21501 CLEVELAND RD,  SOUTH BEND,  46628",ACTIVE,SOUTH BEND,IN,46628,574-273-3400,2023,RST2023-110,"21501 CLEVELAND RD,  SOUTH BEND,  46628, SOUTH BEND, IN, 46628",FALSE,NA,NA
Restaurant (A-M) License,ARMY & NAVY UNION #146,1121 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46601,574-287-3815,2022,RST2022-209,"1121 W  WESTERN AVE, SOUTH BEND, IN, 46601",FALSE,41.6724517,-86.2671226
Taxi Vehicle License,"UNITED CAB OF SOUTH BEND, LLC",2107 S. MICHIGAN ST.,ACTIVE,SOUTH BEND,IN,46613,574-233-9599,2023,TXV2023-003,"2107 S. MICHIGAN ST., SOUTH BEND, IN, 46613",FALSE,41.6519917,-86.2502962
Restaurant (A-M) License,LINDEN GRILL,4333 W WESTERN AVE,EXPIRED,SOUTH BEND,IN,46619,574-246-0250,2022,RST2022-524,"4333 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6719513,-86.3072588
Restaurant (N-Z) License,STAR 002 LLC,"2304 STATE ROAD 23 HWY,  SOUTH BEND,  46614",RENEWED,SOUTH BEND,IN,46635,574-387-5794,2022,RST2022-274,"2304 STATE ROAD 23 HWY,  SOUTH BEND,  46614, SOUTH BEND, IN, 46635",FALSE,NA,NA
Restaurant (N-Z) License,SOUTH BEND MAENNERCHOR CLUB INC.,1606 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,NA,2021,RST2021-355,"1606 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6718563,-86.2744674
Taxi Driver License,"CARNEY, JEFFREY / UNITED CAB",630 E DUBAIL AVE,RENEWED,SOUTH BEND,IN,46613,574-855-0680,2020,TXD2020-004,"630 E DUBAIL AVE, SOUTH BEND, IN, 46613",FALSE,NA,NA
Automotive Repair License,ADAN'S AUTO SALES AND SERVICE LLC,"3922 W WESTERN AVE, SOUTH BEND, IN 46619",RENEWED,SOUTH BEND,IN,46619,219-379-6765,2022,AUT2022-001,"3922 W WESTERN AVE, SOUTH BEND, IN 46619, SOUTH BEND, IN, 46619",FALSE,NA,NA
Alarm Agent License,CIRCLE CITY SECURITY SYSTEMS INC.,5355 E 38th St,RENEWED,INDIANAPOLIS,IN,46218,317-542-7087,2022,ALR2022-029,"5355 E 38th St, INDIANAPOLIS, IN, 46218",FALSE,39.8250754,-86.0775061
Restaurant (A-M) License,Chicory Cafe,"105 E JEFFERSON BLVD, SOUTH BEND, IN, 46601",READY2ISSU,South Bend,IN,46601,574-234-1141,2023,RST2023-264,"105 E JEFFERSON BLVD, SOUTH BEND, IN, 46601, South Bend, IN, 46601",FALSE,41.674716599999996,-86.2469451
Restaurant (N-Z) License,V.F.W. POST 9820,4829 LINDEN AVE,RENEWED,SOUTH BEND,IN,46619,574-237-9820,2022,RST2022-234,"4829 LINDEN AVE, SOUTH BEND, IN, 46619",FALSE,41.6791411,-86.3155882
Hotel and Motel License,Fairfield Inn & Suites,1220 E ANGELA BLVD,ACTIVE,South Bend,IN,46617,574-234-5510,2023,HTM2023-007,"1220 E ANGELA BLVD, South Bend, IN, 46617",FALSE,41.6925361,-86.2326418
Restaurant (A-M) License,AMERICAN LEGION PULASKI POST 357,5414 W  SAMPLE ST,RENEWED,SOUTH BEND,IN,46619,574-234-5073,2020,699RESTAM2020,"5414 W  SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6644606,-86.3223709
Arborist License,"SLUSSERS GREEN THUMB, INC.",125 Montgomery St,RENEWED,LOGANSPORT,IN,46947,574-722-3102,2020,7225ARBOR2020,"125 Montgomery St, LOGANSPORT, IN, 46947",FALSE,40.7474986,-86.3652975
Charitable Solicitation License,STOP THE TRAFFICK,2991 PRINCETON DR.,EXPIRED,MISHAWAKA,IN,46544,574-292-0426,2022,CHS2022-002,"2991 PRINCETON DR., MISHAWAKA, IN, 46544",FALSE,41.6483394,-86.1309017
Restaurant (N-Z) License,VEGETABLE BUDDIES INC.,129 N MICHIGAN ST,CLOSED,SOUTH BEND,IN,46601,574-232-0954,2022,RST2022-183,"129 N MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.6768149,-86.2504826
Restaurant (A-M) License,Cloud Walking Coffee LLC,1211 Mishawaka Ave.,RENEWED,South Bend,IN,46615,574-850-5070,2021,RST2021-439,"1211 Mishawaka Ave., South Bend, IN, 46615",FALSE,41.6657826,-86.2313642
Restaurant (A-M) License,Culvers,"4402 S MICHIGAN ST, SOUTH BEND, IN, 46614",RENEWED,South Bend,IN,46614,574-299-9130,2022,RST2022-107,"4402 S MICHIGAN ST, SOUTH BEND, IN, 46614, South Bend, IN, 46614",FALSE,NA,NA
Automotive Repair License,"LEEDS WEST INDIANA, DBA MIDAS",525 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-289-2437,2022,AUT2022-031,"525 S MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.6707882,-86.2503559
Restaurant (A-M) License,Faith Baptist Church of SB,1002 Blaine Ave,RENEWED,South Bend,IN,46616,574-233-6428,2021,RST2021-463,"1002 Blaine Ave, South Bend, IN, 46616",FALSE,41.6879606,-86.2673046
Automotive Repair License,PRECISION TRANSMISSION,902 S MICHIGAN ST,RENEWED,SOUTH BEND,IN,46601,574-282-2806,2022,AUT2022-045,"902 S MICHIGAN ST, SOUTH BEND, IN, 46601",FALSE,41.665063,-86.2500027
Restaurant (N-Z) License,SNACKS ON THE AVE,1508 MISHAWAKA AVE,RENEWED,SOUTH BEND,IN,46615,574-855-8044,2022,RST2022-013,"1508 MISHAWAKA AVE, SOUTH BEND, IN, 46615",FALSE,41.6656585,-86.2251205
Restaurant (A-M) License,Lane's Dairy Queen Brazier,"2015 SOUTH BEND AVE, SOUTH BEND, IN, 46637",RENEWED,South Bend,IN,46637,574-532-3799,2021,RST2021-336,"2015 SOUTH BEND AVE, SOUTH BEND, IN, 46637, South Bend, IN, 46637",FALSE,41.6988683,-86.2194683
Restaurant (N-Z) License,THAT CHEESECAKE PLACE,3612 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-288-4168,2022,RST2022-380,"3612 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6717629,-86.2990011
Peddlers and Canvassers License,JAMES FREDRICK / TRUGREEN,3606   GAGNON ST,INACTIVE,SOUTH BEND,IN,46623,574-233-9700,2020,8688PEDDLR2020,"3606   GAGNON ST, SOUTH BEND, IN, 46623",FALSE,41.7180351,-86.2984676
Restaurant (A-M) License,MARISCOS PLAYA AZUL,3307 W  SAMPLE ST,CLOSED,SOUTH BEND,IN,46619,574-383-5668,2020,8684RESTAM2020,"3307 W  SAMPLE ST, SOUTH BEND, IN, 46619",FALSE,41.6647905,-86.2949245
Restaurant (N-Z) License,"SUBWAY OF SOUTH BEND IX, INC",5316 W  WESTERN AVE,RENEWED,SOUTH BEND,IN,46601,574-234-4338,2020,885RESTZ2020,"5316 W  WESTERN AVE, SOUTH BEND, IN, 46601",FALSE,41.672064,-86.3210846
Donation Box License,BETTER WORLD BOOKS,1404 IVY CT,RENEWED,MISHAWAKA,IN,46545,888-570-7103,2020,6588DBAC2020,"1404 IVY CT, MISHAWAKA, IN, 46545",FALSE,NA,NA
Automotive Repair License,SNYDER BROTHER'S GARAGE,1335 PORTAGE AVE,ACTIVE,SOUTH BEND,IN,46616,574-233-0282,2023,AUT2023-022,"1335 PORTAGE AVE, SOUTH BEND, IN, 46616",FALSE,41.693154,-86.268437
Automotive Repair License,BELLE TIRE DISTRIBUTORS INC.,3660 N. PORTAGE AVE,ACTIVE,SOUTH BEND,IN,46628,574-314-5226,2023,AUT2023-027,"3660 N. PORTAGE AVE, SOUTH BEND, IN, 46628",FALSE,NA,NA
Restaurant (A-M) License,EL TECATE INC,450 S CARLISLE ST,RENEWED,SOUTH BEND,IN,46619,574-931-2936,2021,RST2021-203,"450 S CARLISLE ST, SOUTH BEND, IN, 46619",FALSE,41.6704891,-86.280826
Restaurant (A-M) License,J.W. CHEN'S CHINESE CUISINE INC.,1835   SOUTH BEND AVE,RENEWED,SOUTH BEND,IN,46637,574-271-2777,2020,1510RESTAM2020,"1835   SOUTH BEND AVE, SOUTH BEND, IN, 46637",FALSE,41.6974182,-86.2209762
Arborist License,"KC TREE, INC",8913 E US Highway 20,RENEWED,NEW CARLISLE,IN,46552,574-674-7722,2021,ARB2021-003,"8913 E US Highway 20, NEW CARLISLE, IN, 46552",FALSE,NA,NA
Restaurant (A-M) License,KRIS'S KOUNTRY KITCHEN,2212 MIAMI ST,RENEWED,SOUTH BEND,IN,46613,574-251-0377,2022,RST2022-145,"2212 MIAMI ST, SOUTH BEND, IN, 46613",FALSE,41.6517438,-86.2347836
Restaurant (A-M) License,KROGER #901,4526 W WESTERN AVE,RENEWED,SOUTH BEND,IN,46619,574-288-0471,2021,RST2021-431,"4526 W WESTERN AVE, SOUTH BEND, IN, 46619",FALSE,41.6701687,-86.3111024
Restaurant (A-M) License,MC DONALD'S 25100,3402 PORTAGE AVE,RENEWED,South Bend,IN,46628,574-273-4907,2021,RST2021-153,"3402 PORTAGE AVE, South Bend, IN, 46628",FALSE,41.724266,-86.2861342
Restaurant (A-M) License,MARTIN'S SUPER MARKETS #11,926   ERSKINE PLZ,RENEWED,BYRON CENTER,MI,49315,574-291-3571,2020,712RESTAM2020,"926   ERSKINE PLZ, BYRON CENTER, MI, 49315",FALSE,NA,NA
Massage Therapist License,CATHERINE IANNICELLO,514 E ECKMAN ST,INACTIVE,SOUTH BEND,IN,46614,NA,2020,MST2020-003,"514 E ECKMAN ST, SOUTH BEND, IN, 46614",FALSE,41.6461373,-86.2436906
Restaurant (A-M) License,Five Guys,"1233 N EDDY ST 110, SOUTH BEND, IN, 46617",ACTIVE,South Bend,IN,46617,574-234-1800,2023,RST2023-178,"1233 N EDDY ST 110, SOUTH BEND, IN, 46617, South Bend, IN, 46617",FALSE,NA,NA
Restaurant (N-Z) License,SAINT PATRICK CATHOLIC CHURCH,308 S  SCOTT ST,RENEWED,SOUTH BEND,IN,46601,574-287-8932,2020,3039RESTZ2020,"308 S  SCOTT ST, SOUTH BEND, IN, 46601",FALSE,41.6732203,-86.2584789
Charitable Solicitation License,SOUTH BEND FIREFIGHTER'S ASSOCIATION,904 W 4TH ST,RENEWED,MISHAWAKA,IN,46544,574-233-9045,2022,CHS2022-001,"904 W 4TH ST, MISHAWAKA, IN, 46544",FALSE,41.6591098,-86.1915205
Automotive Repair License,PERSONAL TOUCH AUTO SERVICE CENTER,1709 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46635,574-323-6866,2021,AUT2021-069,"1709 LINCOLN WAY, SOUTH BEND, IN, 46635",FALSE,41.6584684,-86.2224325
Scrap Metal Dealer License,"OMNISOURCE, LLC",1305 PRAIRIE AVE,RENEWED,South Bend,IN,46613,260-422-5541,2021,SCR2021-003,"1305 PRAIRIE AVE, South Bend, IN, 46613",FALSE,41.6605644,-86.2632624
Restaurant (N-Z) License,SUBWAY,1615 PORTAGE AVE,EXPIRED,SOUTH BEND,IN,46616,574-289-0000,2022,RST2022-028,"1615 PORTAGE AVE, SOUTH BEND, IN, 46616",FALSE,41.696753,-86.270825
Restaurant (A-M) License,CENTER STAGE PIZZA,428 LINCOLN WAY,RENEWED,SOUTH BEND,IN,46601,574-472-8700,2021,RST2021-228,"428 LINCOLN WAY, SOUTH BEND, IN, 46601",FALSE,41.666636,-86.2385554
